350  10
	0	89	1	72	2	63	3	15	4	46	5	59	6	31	7	82	8	60	9	24
	0	100	1	24	2	50	3	94	4	47	5	53	6	15	7	38	8	69	9	46
	0	89	1	66	2	5	3	67	4	11	5	1	6	60	7	22	8	13	9	32
	0	92	1	11	2	57	3	9	4	70	5	12	6	68	7	52	8	87	9	12
	0	57	1	53	2	19	3	60	4	23	5	32	6	38	7	26	8	74	9	54
	0	39	1	64	2	24	3	12	4	23	5	39	6	31	7	59	8	54	9	53
	0	93	1	14	2	90	3	76	4	38	5	95	6	35	7	77	8	39	9	49
	0	82	1	9	2	60	3	75	4	37	5	89	6	16	7	74	8	39	9	77
	0	1	1	60	2	22	3	50	4	5	5	14	6	83	7	15	8	36	9	82
	0	54	1	25	2	27	3	30	4	84	5	76	6	63	7	18	8	86	9	97
	0	91	1	52	2	9	3	78	4	87	5	25	6	22	7	81	8	73	9	64
	0	48	1	41	2	42	3	28	4	58	5	43	6	17	7	44	8	27	9	39
	0	38	1	62	2	11	3	33	4	83	5	66	6	96	7	57	8	43	9	80
	0	26	1	15	2	15	3	51	4	7	5	53	6	91	7	3	8	61	9	8
	0	40	1	81	2	59	3	23	4	26	5	41	6	59	7	36	8	5	9	61
	0	40	1	83	2	81	3	57	4	99	5	76	6	41	7	48	8	44	9	41
	0	76	1	98	2	24	3	21	4	59	5	26	6	60	7	93	8	57	9	74
	0	61	1	45	2	75	3	47	4	61	5	11	6	67	7	99	8	6	9	70
	0	71	1	14	2	57	3	44	4	41	5	88	6	8	7	53	8	85	9	40
	0	38	1	26	2	39	3	2	4	23	5	60	6	29	7	46	8	99	9	85
	0	4	1	64	2	49	3	65	4	42	5	20	6	40	7	64	8	59	9	15
	0	50	1	41	2	76	3	42	4	53	5	47	6	28	7	39	8	53	9	65
	0	9	1	48	2	87	3	86	4	94	5	38	6	33	7	28	8	89	9	66
	0	98	1	40	2	82	3	66	4	74	5	48	6	13	7	100	8	75	9	22
